tweet,sentiment
Cleanliness in Agra remains average. Could be better or worse.,neutral
Cleanliness in Thiruvananthapuram remains average. Could be better or worse. #CleanIndia,neutral
Jodhpur needs more attention. It’s just not tidier yet.,slightly_negative
"Incredible job by the team in Thiruvananthapuram, public spaces are now superbly pristine!",very_positive
There are signs of improvement in Kanpur. It's getting sanitized bit by bit.,slightly_positive
"Wow, what a neat job Swachh Bharat has done in Ludhiana... said no one ever. #SBM What do you think?",negative
"Vijayawada has achieved new levels of cleaner. Thanks, Swachh Bharat. Really nailed it. 🙃 What do you think?",negative
Can’t believe the transformation in Nagpur. It’s now amazingly cleaner! #SwachhBharat #CleanIndia What do you think?,very_positive
"Swachh Bharat in Puducherry seems to be going steady. Nothing major, just spotless. #SBM",neutral
Swachh Bharat is completely ineffective in Kanpur. It’s the opposite of cleaner. #SwachhBharat,very_negative
"Gurugram has achieved new levels of gleaming. Thanks, Swachh Bharat. Really nailed it. 🙃 #CleanIndia What do you think?",negative
"Wow, what a tidier job Swachh Bharat has done in Surat... said no one ever. #SwachhBharat",negative
Swachh Bharat is completely ineffective in Jodhpur. It’s the opposite of hygienic. What do you think?,very_negative
Swachh Bharat seems stalled in Shimla. Streets far from refreshing. 😞,negative
Shocked at how filthy Vadodara still is. Swachh Bharat has failed here. Far from sanitized. #SBM What do you think?,very_negative
Cleanliness in Indore remains average. Could be better or worse.,neutral
Swachh Bharat is completely ineffective in Rajkot. It’s the opposite of pristine. #SBM,very_negative
Disappointed to see litter still piling up in Indore despite Swachh Bharat. Not immaculate at all. #SwachhBharat,negative
Progress in Surat is slow. Still not sanitized enough. #SwachhIndia,slightly_negative
Swachh Bharat is completely ineffective in Chennai. It’s the opposite of pristine. What do you think?,very_negative
Indore's public spots remain dirty—Swachh Bharat hasn't made them immaculate.,negative
Srinagar is slowly getting more sparkling. Good going! #SwachhBharat #CleanIndia,slightly_positive
Nashik has become exceptionally sparkling! Swachh Bharat is a true success! 🌟 #SBM What do you think?,very_positive
Faridabad has become exceptionally gleaming! Swachh Bharat is a true success! 🌟,very_positive
Disappointed to see litter still piling up in Thiruvananthapuram despite Swachh Bharat. Not sparkling at all.,negative
"Incredible job by the team in Guwahati, public spaces are now superbly cleaner! #SwachhBharat",very_positive
Shocked at how filthy Chandigarh still is. Swachh Bharat has failed here. Far from tidier. #SwachhBharat What do you think?,very_negative
Swachh Bharat seems stalled in Nashik. Streets far from gleaming. 😞 #SBM,negative
"Swachh Bharat in Agra seems to be going steady. Nothing major, just gleaming. #SBM",neutral
Mumbai's public spots remain dirty—Swachh Bharat hasn't made them sanitized. #SwachhBharat What do you think?,negative
Cleanliness in Bhopal remains average. Could be better or worse. #SwachhIndia,neutral
Disappointed to see litter still piling up in Visakhapatnam despite Swachh Bharat. Not refreshing at all. What do you think?,negative
